Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
won,3wickets,0,won,2nd,ODIvBangladesh,Dubai(DSC),28Sep2018
won,inns&272runs,-,won,1st,TestvWestIndies,Rajkot,4Oct2018
won,10wickets,-,lost,2nd,TestvWestIndies,Hyderabad(Deccan),12Oct2018
won,8wickets,47,won,2nd,ODIvWestIndies,Guwahati,21Oct2018
tied,-,-,won,1st,ODIvWestIndies,Visakhapatnam,24Oct2018
lost,43runs,-,won,2nd,ODIvWestIndies,Pune,27Oct2018
won,224runs,won,1st,ODIvWestIndies,Mumbai,(BS),29Oct2018
won,9wickets,211,lost,2nd,ODIvWestIndies,Thiruvananthapuram,1Nov2018
won,5wickets,13,won,2nd,T20IvWestIndies,Kolkata,4Nov2018
won,71runs,-,lost,1st,T20IvWestIndies,Lucknow,6Nov2018
won,6wickets,0,lost,2nd,T20IvWestIndies,Chennai,11Nov2018
lost,4runs,-,won,2nd,T20IvAustralia,Brisbane,21Nov2018
n/r,-,-,won,2nd,T20IvAustralia,Melbourne,23Nov2018
won,6wickets,2,lost,2nd,T20IvAustralia,Sydney,25Nov2018
won,31runs,-,won,1st,TestvAustralia,Adelaide,6Dec2018
lost,146runs,-,lost,2nd,TestvAustralia,Perth,14Dec2018
won,137runs,-,won,1st,TestvAustralia,Melbourne,26Dec2018
draw,-,-,won,1st,TestvAustralia,Sydney,3Jan2019
lost,34runs,-,lost,2nd,ODIvAustralia,Sydney,12Jan2019
won,6wickets,4,lost,2nd,ODIvAustralia,Adelaide,15Jan2019
won,7wickets,4,won,2nd,ODIvAustralia,Melbourne,18Jan2019
won,8wickets,85,lost,2nd,ODIvNewZealand,Napier,23Jan2019
won,90runs,-,won,1st,ODIvNewZealand,MountMaunganui,26Jan2019
won,7wickets,42,lost,2nd,ODIvNewZealand,MountMaunganui,28Jan2019
lost,8wickets,212,lost,1st,ODIvNewZealand,Hamilton,31Jan2019
won,35runs,-,won,1st,ODIvNewZealand,Wellington,3Feb2019
lost,80runs,-,won,2nd,T20IvNewZealand,Wellington,6Feb2019
won,7wickets,7,lost,2nd,T20IvNewZealand,Auckland,8Feb2019
lost,4runs,-,won,2nd,T20IvNewZealand,Hamilton,10Feb2019
lost,3wickets,0,lost,1st,T20IvAustralia,Visakhapatnam,24Feb2019
lost,7wickets,2,lost,1st,T20IvAustralia,Bengaluru,27Feb2019
won,6wickets,10,lost,2nd,ODIvAustralia,Hyderabad(Deccan),2Mar2019
won,8runs,-,lost,1st,ODIvAustralia,Nagpur,5Mar2019
lost,32runs,-,won,2nd,ODIvAustralia,Ranchi,8Mar2019
lost,4wickets,13,won,1st,ODIvAustralia,Mohali,10Mar2019
lost,35runs,-,lost,2nd,ODIvAustralia,Delhi,13Mar2019
won,6wickets,15,lost,2nd,ODIvSouthAfrica,Southampton,5Jun2019
won,36runs,-,won,1st,ODIvAustralia,TheOval,9Jun2019
won,89runs,-,lost,1st,ODIvPakistan,Manchester,16Jun2019
won,11runs,-,won,1st,ODIvAfghanistan,Southampton,22Jun2019
won,125runs,-,won,1st,ODIvWestIndies,Manchester,27Jun2019
lost,31runs,-,lost,2nd,ODIvEngland,Birmingham,30Jun2019
won,28runs,-,won,1st,ODIvBangladesh,Birmingham,2Jul2019
won,7wickets,39,lost,2nd,ODIvSriLanka,Leeds,6Jul2019
lost,18runs,-,lost,2nd,ODIvNewZealand,Manchester,9Jul2019
won,4wickets,16,won,2nd,T20IvWestIndies,Lauderhill,3Aug2019
won,22runs,-,won,1st,T20IvWestIndies,Lauderhill,4Aug2019
won,7wickets,5,won,2nd,T20IvWestIndies,Providence,6Aug2019
